r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
13.44,310.0,277.98028779033956,20.4,ESO563-G021,0.4,277.98,0.0,7150.297619047619,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.1807019417638935,0.05231724770651347,0.9955506056885917,0.05231724770651347,0.05208446764217957,0.594912055969112,389277.85801701597,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,318887922616.5412,1.0,0.00551987649594432,0.006154970318413348,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,1282.076484420147,131.26731486019958,307.4152701975079,2.58472980249212,32.01971220966044
15.18,310.0,282.2671334038024,16.1,ESO563-G021,3.11,282.25,0.0,6330.698287220026,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.1807019417638935,0.05231724770651347,0.9955506056885917,0.05231724770651347,0.05208446764217957,0.594912055969112,389277.85801701597,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,318887922616.5412,1.0,0.00551987649594432,0.006154970318413348,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,1005.0066347273865,123.51518414819179,308.10831750402605,1.8916824959739529,27.732866596197596
16.83,314.0,283.7363587910439,13.5,ESO563-G021,15.18,283.33,0.0,5858.348187759953,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.1807019417638935,0.05231724770651347,0.9955506056885917,0.05231724770651347,0.05208446764217957,0.594912055969112,389277.85801701597,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,318887922616.5412,1.0,0.00551987649594432,0.006154970318413348,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,817.6063202934066,117.30436637456438,307.0287212469512,6.971278753048807,30.263641208956074
18.56,317.0,277.4176075882712,12.7,ESO563-G021,22.91,276.47,0.0,5414.27801724138,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.1807019417638935,0.05231724770651347,0.9955506056885917,0.05231724770651347,0.05208446764217957,0.594912055969112,389277.85801701597,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,318887922616.5412,1.0,0.00551987649594432,0.006154970318413348,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,672.2898093094944,111.70362062522511,299.06224746828923,17.93775253171077,39.58239241172879
20.3,319.0,274.1903712751416,10.4,ESO563-G021,33.06,272.19,0.0,5012.857142857143,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,3,2.1807019417638935,0.05231724770651347,0.9955506056885917,0.05231724770651347,0.05208446764217957,0.594912055969112,389277.85801701597,2.005299968245645,2.1875080050378832,0.019401330376940133,0.5,318887922616.5412,1.0,0.00551987649594432,0.006154970318413348,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,561.9793997819772,106.80909051000359,294.2593099896317,24.740690010368326,44.809628724858385
23.68,317.0,274.2245512349323,9.3,ESO563-G021,39.67,271.34,0.0,4243.623310810811,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.1962896670268277,0.01753786025445736,0.9806407940186377,0.019962944839708632,0.019576478078562137,0.37980474807926956,389277.85801701597,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,413175036792.438,1.1382771073589164,0.02110760175887849,0.0020632776769949836,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,263.667557147436,79.01675615495289,285.3817658037235,31.61823419627649,42.77544876506772
25.41,317.0,265.4585180400132,7.23,ESO563-G021,44.98,261.62,0.0,3954.7028728846913,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.1962896670268277,0.01753786025445736,0.9806407940186377,0.019962944839708632,0.019576478078562137,0.37980474807926956,389277.85801701597,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,413175036792.438,1.1382771073589164,0.02110760175887849,0.0020632776769949836,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,228.98696527982477,76.27947815605681,276.2006219901765,40.7993780098235,51.54148195998681
27.06,312.0,257.17034238029856,8.39,ESO563-G021,46.29,252.97,0.0,3597.339246119734,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.1962896670268277,0.01753786025445736,0.9806407940186377,0.019962944839708632,0.019576478078562137,0.37980474807926956,389277.85801701597,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,413175036792.438,1.1382771073589164,0.02110760175887849,0.0020632776769949836,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,201.91310486973248,73.91730932450776,267.58242397021326,44.417576029786744,54.829657619701436
28.8,312.0,247.63895028851982,8.37,ESO563-G021,43.21,243.84,0.0,3380.0,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.1962896670268277,0.01753786025445736,0.9806407940186377,0.019962944839708632,0.019576478078562137,0.37980474807926956,389277.85801701597,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,413175036792.438,1.1382771073589164,0.02110760175887849,0.0020632776769949836,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,178.25228925177277,71.64960523583542,257.79587977787975,54.20412022212025,64.36104971148018
30.53,311.0,238.15547211853016,11.5,ESO563-G021,45.08,233.85,0.0,3168.0641991483785,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,4,2.1962896670268277,0.01753786025445736,0.9806407940186377,0.019962944839708632,0.019576478078562137,0.37980474807926956,389277.85801701597,2.0030050393335017,2.2005280511398766,0.012376237623762377,0.5643982276142055,413175036792.438,1.1382771073589164,0.02110760175887849,0.0020632776769949836,8.5,1.0,2.0,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,158.6231182261008,69.58996910074653,248.1144749897572,62.88552501024279,72.84452788146984
