r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,source_file,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__
5.13,304.0,281.0518416591501,8.47,NGC2841,-0.28,200.57,196.88,18014.81481481481,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,1,2.02544875488733,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,5.274342966422473,5.201670829430413,281.0999734603647,22.90002653963529,22.948158340849886,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.48,308.0,281.0117926351134,8.47,NGC2841,-0.38,206.64,190.44,17310.948905109486,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,1,2.02544875488733,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.622128123935863,5.032818506480095,281.0568569918178,26.943143008182176,26.98820736488659,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.83,313.0,280.55263213878425,12.7,NGC2841,-0.48,211.29,184.57,16804.288164665522,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,1,2.02544875488733,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.083814316233934,4.879409540471453,280.5950606077442,32.40493939225581,32.44736786121575,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.16,314.0,280.233626461922,9.32,NGC2841,-0.53,215.14,179.57,16005.844155844155,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,1,2.02544875488733,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,3.657982912723572,4.746912127096646,280.273827844739,33.726172155261,33.76637353807803,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.86,317.0,284.37957257862246,8.47,NGC2841,8.02,227.72,170.15,14648.542274052475,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,5.792093733335177,6.303472297922735,284.44942443782634,32.55057556217366,32.62042742137754,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.18,320.0,285.497386678057,7.63,NGC2841,12.15,231.73,166.32,14261.838440111422,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,5.287311827446639,6.161403973208287,285.5638644837982,34.43613551620177,34.50261332194299,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.51,316.0,286.64103840866886,20.5,NGC2841,16.24,235.48,162.63,13296.404793608524,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.83285693204906,6.024512889826732,286.70434188473615,29.295658115263848,29.358961591331138,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.85,318.0,288.61413842707015,23.4,NGC2841,20.27,239.96,159.08,12882.03821656051,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.423280688924665,5.8926015823283535,288.6742864430569,29.32571355694307,29.385861572929855,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.21,321.0,289.92085747665686,8.48,NGC2841,24.66,243.42,155.54,12550.669914738122,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.0438729135654965,5.761961178311837,289.9781091679514,31.021890832048598,31.079142523343137,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.57,323.0,289.8394476257502,8.66,NGC2841,27.1,245.15,152.23,12173.745624270712,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,3.711266735379313,5.639641471068947,289.89430997507037,33.10569002492963,33.16055237424979,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.9,321.0,289.1324277904504,12.7,NGC2841,29.42,245.8,149.38,11577.640449438202,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,3.441151549719229,5.534098733533866,289.1853852614141,31.814614738585874,31.86757220954962,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.24,323.0,287.4796989354205,11.0,NGC2841,31.74,245.24,146.61,11291.017316017316,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,3.1925658984705607,5.43132662448761,287.5310011266644,35.46899887333558,35.520301064579485,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.6,323.0,285.42702149586324,10.4,NGC2841,34.31,244.14,143.83,10867.604166666668,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,2,2.012785294331137,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,2.957613001879993,5.328516192904731,285.47675506916147,37.52324493083853,37.572978504136756,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.27,321.0,283.18853454898203,13.6,NGC2841,38.95,243.6,139.06,10033.203505355405,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,5.164646279149127,7.282919557901319,283.28216854805186,37.71783145194814,37.811465451017966,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6,323.0,282.22792065988085,9.32,NGC2841,41.02,243.38,136.88,9842.358490566035,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.848079570452723,7.168657018354195,282.31894878567186,40.681051214328136,40.77207934011915,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.93,322.0,281.29503159494305,11.9,NGC2841,43.22,243.08,134.8,9486.184812442818,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.5597511950042895,7.059609094092738,281.3836044984878,40.616395501512216,40.704968405056945,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.27,321.0,280.11192852143944,11.0,NGC2841,45.42,242.44,132.75,9142.945874001774,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,4.288778703077152,6.952304365005857,280.19819242097844,40.801807579021556,40.88807147856056,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.31,323.0,274.1813868591375,4.24,NGC2841,52.25,237.3,127.02,8475.142160844842,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,3.5947224492122203,6.652145018699039,274.26207162739405,48.73792837260595,48.81861314086251,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.35,319.0,257.62889220737645,4.24,NGC2841,56.77,222.06,117.64,7091.358885017422,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,2.6453166629973315,6.1611925886155925,257.7025541086351,61.29744589136487,61.37110779262355,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.4,308.0,240.95031458788344,4.24,NGC2841,51.89,207.98,110.04,5784.39024390244,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,2.025320570107332,5.7632679401325975,241.01923026461967,66.98076973538033,67.04968541211656,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.48,299.0,227.6905538225071,5.66,NGC2841,48.35,196.87,103.67,4837.7164502164505,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,1.595061879626705,5.429248892388478,227.75527445821206,71.24472554178794,71.3094461774929,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.57,299.0,217.05240956967052,5.66,NGC2841,54.45,185.72,98.26,4346.183762761303,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,3,2.0054686459590885,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,1.2873981666786045,5.146045111401463,217.1134041930359,81.8865958069641,81.94759043032948,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.59,296.0,202.46587539632452,5.66,NGC2841,66.17,168.93,89.87,3563.074420496137,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,4,2.0022427669919116,0.003225878967176854,0.9906317825164029,0.0054686459590884695,0.005417414494402934,0.40677585629466684,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,1.1951881897754513,5.4212247312372455,202.53844172795095,93.46155827204905,93.53412460367548,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.68,293.0,193.0401836406089,4.24,NGC2841,61.9,161.21,86.28,3217.728635682159,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,0.35,4,2.0022427669919116,0.003225878967176854,0.9906317825164029,0.0054686459590884695,0.005417414494402934,0.40677585629466684,1776.6348731632838,0.009442405082594262,0.0048364383287650805,0.9860781336480215,2.917770732084279,0.31474683611980875,0.4836438329765081,1.1671082928341117,1.0,1776.6348731632838,1.0152703425095382,5.204556920445244,193.1103309321854,99.8896690678146,99.95981635939111,NGC2841_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
